pid,con,scen,sex,age,ethnic,alex,words,describe,first.choice,coop,delay,teq,iri_pt,iri_fs,iri_ec,iri_pd
7036,imag,sub,F,20,Middle Eastern,M,NA,"It is Thursday around noon and the subway is not that busy. I go up to Alex who is being harassed by the passengers, and tell them to stop harassi",1,20,20,56,21,21,24,14
7055,imag,res,F,19,NA,M,NA,"Going to an italian restaurant. as we finish eating,",1,20,20,59,24,22,24,12
7065,imag,res,F,19,Southeast Asian,M,NA,"Saturday evening, dinner time. Italian food. I would ask him if he's okay and if he isn't try to help him get home and set up some medicine and hot wa",1,20,20,48,19,16,20,14
7066,imag,res,F,18,African,M,NA,"Alex and I, along with a group of friends were in a restaurant. It was in the evening and Alex was trying",1,9,1,55,24,27,23,9
7080,imag,res,F,18,Middle Eastern,M,NA,"It is Wednesay evening and it is pouring rain outside. As I walk into the restaurant to help Alex, I am on the phone with paramedics. I walk over to Alex and begin comforting him.",0,13,0,52,21,20,23,15
7084,imag,res,F,18,East Asian,M,NA,Alex is in a pizza restaurant in sunday afternoon. Af,1,20,20,43,22,22,19,13
7088,imag,res,F,19,East Asian,M,NA,"He's sitting at one of the tables with a comfy ""couch"" seat with his hand on his chest and eyes closed",0,3,0,50,22,24,22,17
7095,imag,res,F,18,East Asian,M,NA,it is friday brunch time at chipotle; it is fairly empty in the restaurant and Alex is feeling ill (he ordered chicken).,1,20,20,29,16,14,11,6
7117,imag,sub,F,18,South Asian,M,NA,I imagined Alex on the subway on a Saturday evening and he was being attacked by passengers.,1,7,1,48,14,26,22,14
7128,imag,sub,F,19,East Asian,M,NA,"I come to Alex and say ""hey, we gotta go",0,0,0,28,9,20,17,18
7021,imag,sub,M,19,South Asian,F,NA,Alex was travelling in a subway when a few individuals physically/sexually harassed him. There was no one in the subway with him to actually do anything about it?,1,4,2,50,17,12,17,16
7028,imag,sub,M,19,South Asian,F,NA,I imagined a young woman heading back home from work on a Monday evening. Two to three other passengers began talking to her inappropriately,1,20,20,50,17,19,22,12
7041,imag,sub,M,31,European,F,NA,"It was late on a Sunday evening, Alex was returning from a long trip, she was very tired. She was we",1,8,1,40,22,20,19,10
7044,imag,res,M,21,Middle Eastern,F,NA,"In the scenario I saw myself sitting across from ""Alex"" on the subway (corner seat near the door). She was reading a book, and there was a large man next to her. The man began to talk to her, and tried to grab her arm. I intervened by calmly asking the man the stop. I went with Alex to another seat near the other side of the subway cart. ",1,20,20,48,14,17,24,11
7074,imag,res,M,18,East Asian,F,NA,"I imagined myself calling the ambulance for her, and accompanying her to the hospital. I waited until the doctor told me that she was fine before checking up on her.",0,1,0,32,12,14,15,11
7086,imag,res,M,18,East Asian,F,NA,Me and Alex sitting,1,19,7,14,18,5,7,11
7098,imag,res,M,18,East Asian,F,NA,"I asked her if she's okay, and if she wants to go to a clinic.",1,20,20,45,22,16,19,20
7109,imag,res,M,34,European,F,NA,Imagined a McDonalds Restaurant where we were eating at Dufferin and Dupont after swimming at Wallace Emerson community s,1,20,20,47,16,17,16,3
7130,imag,sub,M,19,Southeast Asian,F,NA,"I push the emergency button that is closest to me. Then, I try separating Alex and the people harassing Alex physically.",1,20,20,35,17,18,15,11
7131,imag,sub,M,18,East Asian,F,NA,I get up and put my hands between Alex and the stranger. I separate the two and tell them to relax.,1,20,20,43,20,16,20,14
7139,imag,sub,M,18,East Asian,F,NA,I would physically step in between Alex and the other passengers and confront the behaviour of the harassing passengers. I would ask them what they ho,1,20,20,29,15,14,15,10
7148,imag,sub,M,20,European,F,NA,"I imagined being on the TTC riding north on a weekend. 'Alex' is sitting across from me, and I tell the people that it's annoying to",1,20,20,48,18,22,22,18
7157,imag,res,M,19,South Asian,F,NA,Alex was eating at Taco Bell on a sunday afternoon and starts to throw up. I notice and,0,0,0,48,23,19,21,14
7162,imag,res,M,18,Middle Eastern,F,NA,"Once I noticed, I would ask her if it was serious. If she replied yes, i would take her to see a doctor and wait for her to finish in the waiting room.",1,20,20,48,14,17,19,11
7166,imag,res,M,23,European,F,NA,"We are in the restaurant, she started to look ill. I asked her if she is ok. Offered a glass of water. Asked a waiter if they have any medicine. Help her out of the",0,6,0,35,18,21,16,14
7024,imag,sub,M,21,East Asian,M,NA,"I imagine it is late at night and Alex is on his way back from hanging out with his friends on a friday night. On the subway, there are some passengers that are drunk and harassing",1,20,20,47,19,21,21,11
7038,imag,sub,M,29,East Asian,M,NA,"When the harassment began, I would initially just be observing what was going on, but as it continues, I would intervene by befriending Alex, taking him away from the harasser and into",1,20,20,50,26,14,17,6
7045,imag,res,M,20,East Asian,M,NA,"If there was body contact between the two, I'll separate them first t",1,20,20,48,24,28,21,21
7046,imag,res,M,19,East Asian,M,NA,"It is a Friday night when the train passes a tunnel into the ground surface, and there aren't",1,20,20,44,12,17,22,11
7070,imag,res,M,19,South Asian,M,NA,"It is Friday evening, we're done with our classes for the day and having an early dinner at a",0,0,0,47,25,20,22,18
7092,imag,res,M,18,East Asian,M,NA,A disgusted look on Alex's face as he sways forth on his chair after eating. Appears very nauseous. Blank stare into the distance and constantly seems like he's,1,20,20,36,21,15,18,11
7108,imag,res,M,18,East Asian,M,NA,,1,20,20,43,16,19,17,20
7115,imag,sub,M,19,East Asian,M,NA,"On the subway, Alex is being bullied for b",1,20,20,31,17,11,12,10
7126,imag,sub,M,18,South Asian,M,NA,I imagined a man yelling at Alex. The others in the subway were all looking at the situation but no one was doing anything to intere,0,0,0,40,21,18,19,8
7134,imag,sub,M,18,Southeast Asian,M,NA,A group of people were harassing Alex and I told them to stop. They refused and turned their aggression towards me. I was forced to intervene physically. They eventually left but both Alex and I suffered some minor injuries.,1,20,20,52,19,21,19,9
7143,imag,sub,M,18,South Asian,M,NA,"We're riding the subway in the same car this evening,",0,0,0,31,18,12,18,15
7145,imag,sub,M,18,East Asian,M,NA,"On a Sundasaw Alex sitting in a subway seat, getting harassed by an old woman demanding that he give up his seat for her. Alex is taken aback and refuses as she is being rude, and I step in and offer my seat instead to avoid a conflict.",1,20,20,52,20,28,20,9
7153,imag,sub,M,18,East Asian,M,NA,"On a Saturday afternoon, I was taking the subway to North York. On the subway, I saw two",1,15,1,56,16,21,25,11
7159,imag,res,M,18,South Asian,M,NA,Asked him if he was alright and took him to washroom in case he needed to throwup. Called an uber/taxi to drive h,0,19,0,21,10,13,5,11
7164,imag,res,M,18,East Asian,M,NA,"call an uber or take him to one of our houses, which ever is more feesable and ask what he needs. any medication he needs i`ll get and give it to him and i`ll most likely stay with him until he is feeling a bit better.",1,20,20,46,20,8,24,8
7010,word,,F,23,East Asian,F,13,NA,0,17,0,31,18,12,18,15
7047,word,,F,19,European,F,19,NA,0,18,0,32,11,19,7,4
7049,word,,F,18,European,F,11,NA,0,18,0,50,18,26,20,17
7050,word,,F,18,East Asian,F,11,NA,1,20,20,41,16,16,21,10
7051,word,,F,18,East Asian,F,8,NA,1,1,1,37,13,26,17,17
7057,word,,F,18,Middle Eastern,F,15,NA,1,20,20,50,15,24,20,9
7060,word,,F,18,East Asian,F,19,NA,0,0,0,51,14,16,19,12
7062,word,,F,18,European,F,10,NA,1,5,1,36,10,5,17,7
7068,word,,F,19,East Asian,F,10,NA,1,14,2,36,24,11,12,7
7078,word,,F,18,East Asian,F,12,NA,1,10,5,49,17,23,18,9
7083,word,,F,19,East Asian,F,3,NA,1,9,3,29,21,19,16,15
7090,word,,F,18,European and Middle Eastern,F,16,NA,0,0,0,57,20,18,23,16
7093,word,,F,20,Southeast Asian,F,9,NA,0,18,0,49,21,19,21,10
7101,word,,F,18,Southeast Asian,F,6,NA,1,2,1,50,17,23,21,19
7106,word,,F,18,Caribbean,F,9,NA,1,20,20,54,14,18,24,13
7011,word,,F,19,East Asian,M,13,NA,0,14,0,35,14,9,16,15
7014,word,,F,20,East Asian,M,10,NA,0,6,0,49,21,22,21,13
7029,word,,F,19,South Asian,M,14,NA,0,0,0,49,8,4,21,17
7032,word,,F,20,European,M,14,NA,0,6,0,53,25,20,24,24
7034,word,,F,24,East Asian,M,10,NA,1,3,2,48,16,17,18,20
7040,word,,F,18,African,M,4,NA,1,13,1,51,17,15,20,18
7042,word,,F,19,East Asian,M,16,NA,1,20,20,45,19,18,21,16
7043,word,,F,20,East Asian,M,10,NA,1,20,20,46,17,15,20,8
7072,word,,F,19,East Asian,M,14,NA,1,20,20,49,18,12,22,14
7076,word,,F,18,East Asian,M,11,NA,1,10,3,38,13,9,16,18
7087,word,,F,19,East Asian,M,18,NA,0,7,0,32,12,14,15,11
7091,word,,F,18,South Asian,M,10,NA,1,20,20,59,20,22,24,15
7094,word,,F,18,East Asian,M,14,NA,1,20,20,32,11,19,7,4
7102,word,,F,18,East Asian,M,14,NA,0,4,0,50,19,18,24,17
7111,word,,F,18,European,M,19,NA,0,2,0,21,13,21,10,15
7009,word,,M,19,East Asian,F,13,NA,1,20,20,52,22,11,15,7
7012,word,,M,21,East Asian,F,12,NA,0,5,0,41,25,13,16,4
7013,word,,M,18,European,F,11,NA,1,20,20,46,18,8,20,7
7015,word,,M,18,Middle Eastern,F,15,NA,1,20,20,41,13,17,11,11
7048,word,,M,22,South Asian,F,18,NA,1,20,20,44,23,14,13,10
7099,word,,M,18,Middle Eastern,F,16,NA,1,20,20,58,18,26,25,13
7104,word,,M,18,East Asian,F,14,NA,0,0,0,50,9,15,21,15
7116,word,,M,18,East Asian,F,12,NA,1,20,20,36,20,20,7,16
7129,word,,M,18,East Asian,F,15,NA,0,0,0,41,24,16,19,13
7136,word,,M,19,East Asian,F,15,NA,0,5,0,34,18,15,13,8
7144,word,,M,18,South Asian,F,21,NA,1,6,6,49,28,23,21,6
7147,word,,M,19,East Asian,F,8,NA,0,0,0,33,13,8,6,4
7150,word,,M,21,Southeast Asian,F,15,NA,1,20,20,44,14,22,19,15
7158,word,,M,19,East Asian,F,9,NA,1,20,20,40,16,15,20,10
7163,word,,M,19,European,F,9,NA,1,3,3,29,16,14,11,6
7007,word,,M,19,European + Caribbean,M,NA,NA,0,6,0,34,19,13,9,9
7008,word,,M,18,East Asian,M,10,NA,1,20,20,48,18,20,19,7
7016,word,,M,18,Middle Eastern,M,10,NA,0,13,0,59,23,21,23,9
7059,word,,M,18,South Asian,M,6,NA,1,20,20,45,21,15,20,6
7061,word,,M,19,East Asian,M,15,NA,1,20,20,49,18,15,19,14
7082,word,,M,18,European,M,5,NA,1,6,4,29,15,14,15,10
7103,word,,M,18,European,M,8,NA,0,6,0,33,13,8,6,4
7110,word,,M,18,Canadian,M,10,NA,1,20,20,47,17,11,20,14
7127,word,,M,19,Middle Eastern,M,6,NA,0,4,0,51,21,17,25,7
7133,word,,M,18,South Asian,M,16,NA,1,19,1,43,17,14,16,1
7137,word,,M,19,European,M,24,NA,1,20,20,47,23,23,20,11
7149,word,,M,18,East Asian,M,13,NA,0,11,0,34,18,15,13,8
7152,word,,M,18,East Asian,M,11,NA,1,16,2,37,17,15,19,12
7155,word,,M,22,East Asian,M,13,NA,1,20,20,37,17,11,18,9
7160,word,,M,19,East Asian,M,12,NA,0,2,0,49,17,17,19,11
